title,link,company,salary,location
"Staff iOS Engineer, Storefront",https://www.ycombinator.com/companies/doordash/jobs/uv04VyJ-staff-ios-engineer-storefront,Doordash,$119K - $252K,"San Francisco, CA, US / Seattle, WA, US"
"Engineering Manager, Storefront",https://www.ycombinator.com/companies/doordash/jobs/5BgBitd-engineering-manager-storefront,Doordash,$202K - $303K,"San Francisco, CA, US / Seattle, WA, US"
"Software Engineer, Distributed Databases",https://www.ycombinator.com/companies/doordash/jobs/Zfq9BV9-software-engineer-distributed-databases,Doordash,1+ years,Remote
"Software Engineer, Site Reliability (SRE)",https://www.ycombinator.com/companies/doordash/jobs/a00qwGR-software-engineer-site-reliability-sre,Doordash,,United States / Remote (US)
"Engineering Manager, Core Platform   ",https://www.ycombinator.com/companies/doordash/jobs/8PqP3xh-engineering-manager-core-platform,Doordash,,United States / Remote (US)
"Software Engineer, Core Platform",https://www.ycombinator.com/companies/doordash/jobs/j89qEY3-software-engineer-core-platform,Doordash,6+ years,100% Remote / Remote
Backend Engineer,https://www.ycombinator.com/companies/doordash/jobs/kfcD8ptiE-backend-engineer,Doordash,6+ years,"901 Market Floor 6, SF, CA 94105"
"Software Engineer, iOS",https://www.ycombinator.com/companies/doordash/jobs/nCcioeppx-software-engineer-ios,Doordash,6+ years,"901 Market Floor 6, SF, CA 94105"
"Software Engineer, Android",https://www.ycombinator.com/companies/doordash/jobs/BV8AJW4Tt-software-engineer-android,Doordash,3+ years,"901 Market, SF, CA 94105"
Senior Software Engineer,https://www.ycombinator.com/companies/instacart/jobs/0XJjxk4lw-senior-software-engineer,Instacart,1+ years,"San francisco, CA / Remote"
Senior Android Engineer,https://www.ycombinator.com/companies/instacart/jobs/BWkbgeYsk-senior-android-engineer,Instacart,3+ years,"San francisco, CA / Remote"
Senior iOS Engineer,https://www.ycombinator.com/companies/instacart/jobs/4uSrVZoa1-senior-ios-engineer,Instacart,3+ years,"San francisco, CA"
"Senior Software Engineer, Customers, Front End",https://www.ycombinator.com/companies/instacart/jobs/4wuq2cXZq-senior-software-engineer-customers-front-end,Instacart,3+ years,"San francisco, CA"
"Senior Software Engineer, Infrastructure",https://www.ycombinator.com/companies/instacart/jobs/7RkVA0vyi-senior-software-engineer-infrastructure,Instacart,3+ years,"San francisco, CA"
"Senior Software Engineer, Customers Back End",https://www.ycombinator.com/companies/instacart/jobs/Vc34PRHze-senior-software-engineer-customers-back-end,Instacart,3+ years,"San francisco, CA"
Android Engineer,https://www.ycombinator.com/companies/instacart/jobs/ZBDBmG17B-android-engineer,Instacart,3+ years,"San francisco, CA"
Principal Product Development Scientist,https://www.ycombinator.com/companies/notable-labs/jobs/kF9VM8qjw-principal-product-development-scientist,Notable Labs,11+ years,"Foster City, CA"
Product Development Scientist / Senior Assay Development Scientist,https://www.ycombinator.com/companies/notable-labs/jobs/ti2HBnyyd-product-development-scientist-senior-assay-development-scientist,Notable Labs,6+ years,"Foster City, CA"
Senior Software Engineer - Full Stack,https://www.ycombinator.com/companies/notable-labs/jobs/Ey5oHo8pO-senior-software-engineer-full-stack,Notable Labs,3+ years,"Foster city, CA"
Software Engineer II,https://www.ycombinator.com/companies/checkr/jobs/scD5ory-software-engineer-ii,Checkr,$147K - $173K,"San Francisco, California, United States"
Software Engineer II,https://www.ycombinator.com/companies/checkr/jobs/Xz9OuSB-software-engineer-ii,Checkr,$124K - $146K,"Denver, Colorado, United States"
